"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","Coxilha","All climate time series",0.356854155784036,88.1492518784878,"30",181
"2","Time series reconstruction","Lasso","Coxilha","All climate time series",0.223453637019365,96.0001215661316,"30",181
"3","Time series reconstruction","Random Forests","Coxilha","All climate time series",0.312428958937142,89.3590145950033,"30",181
"4","Time series reconstruction","Light GBM","Coxilha","All climate time series",0.351155199624348,82.6556521768357,"60",151
"5","Time series reconstruction","Lasso","Coxilha","All climate time series",0.285099268852771,86.3386088335752,"60",151
"6","Time series reconstruction","Random Forests","Coxilha","All climate time series",0.316088731376969,83.1140489676518,"60",151
"7","Naive up to 3 lags","Light GBM","Coxilha","All climate time series",0.34990693137618,100.505235383355,"30",181
"8","Naive up to 3 lags","Random Forests","Coxilha","All climate time series",0.366515321647373,88.3640570543217,"30",181
"9","Naive up to 3 lags","Lasso","Coxilha","All climate time series",0.301121081339629,92.4256713342258,"30",181
"10","Naive up to 3 lags","Light GBM","Coxilha","All climate time series",0.293431067851157,95.0815068565945,"60",151
"11","Naive up to 3 lags","Random Forests","Coxilha","All climate time series",0.338224905668827,84.5129167733626,"60",151
"12","Naive up to 3 lags","Lasso","Coxilha","All climate time series",0.286705547099455,87.3220831689476,"60",151
"13","Naive up to 6 lags","Light GBM","Coxilha","All climate time series",0.240619502677206,119.452305087436,"30",181
"14","Naive up to 6 lags","Random Forests","Coxilha","All climate time series",0.330040467054615,91.444704049994,"30",181
"15","Naive up to 6 lags","Lasso","Coxilha","All climate time series",0.320694496003371,92.1086357452264,"30",181
"16","Naive up to 6 lags","Light GBM","Coxilha","All climate time series",0.281966566433296,103.285761246484,"60",151
"17","Naive up to 6 lags","Random Forests","Coxilha","All climate time series",0.321112556481305,85.6438425623663,"60",151
"18","Naive up to 6 lags","Lasso","Coxilha","All climate time series",0.259639754623706,89.3536365480923,"60",151
"19","All climate time series","Light GBM","Coxilha","All climate time series",0.0395073857827732,139.675371486403,"30",181
"20","All climate time series","Random Forests","Coxilha","All climate time series",0.0469330979623009,123.008235179316,"30",181
"21","All climate time series","Lasso","Coxilha","All climate time series",0.0691050888375995,113.757373761494,"30",181
"22","All climate time series","Light GBM","Coxilha","All climate time series",0.0294715060612586,137.78835504176,"60",151
"23","All climate time series","Random Forests","Coxilha","All climate time series",0.0101246447047409,123.02546243902,"60",151
"24","All climate time series","Lasso","Coxilha","All climate time series",0.0320179288601077,111.432190282824,"60",151
